id,name,from_anime,gender,price,image_url
1,Abarai Renji,Bleach,m,4588,http://cdn.myanimelist.net/images/characters/10/171877.jpg
2,Accelerator,Toaru Majutsu no Index,m,1854,http://cdn.myanimelist.net/images/characters/8/207883.jpg
3,Adam Blade,Needless,m,4919,http://cdn.myanimelist.net/images/characters/5/56920.jpg
4,Agata Soujirou,SKET Dance,m,4125,http://cdn.myanimelist.net/images/characters/8/114135.jpg
5,Aikawa Ayumu,Kore wa Zombie Desu ka?,m,3133,http://cdn.myanimelist.net/images/characters/5/109594.jpg
7,Akashi Seijuurou,Kuroko no Basket,m,2877,http://cdn.myanimelist.net/images/characters/4/275813.jpg
8,Yukihira Souma,Shokugeki No Souma,m,4866,https://myanimelist.cdn-dena.com/images/characters/8/277503.jpg
9,Takumi Aldini,Shokugeki No Souma,m,4719,https://myanimelist.cdn-dena.com/images/characters/16/286588.jpg
11,Akira Agarkar Yamada,Tsuritama,m,3425,http://cdn.myanimelist.net/images/characters/13/168097.jpg
12,Akise Aru,Mirai Nikki,m,1682,http://cdn.myanimelist.net/images/characters/13/144245.jpg
13,Aladdin (Magi),Magi,m,4630,http://cdn.myanimelist.net/images/characters/13/177405.jpg
14,Alex Louis Armstrong,Fullmetal Alchemist,m,2181,http://cdn.myanimelist.net/images/characters/2/71066.jpg
15,Alibaba Saluja,Magi: The Labyrinth of Magic,m,3967,http://cdn.myanimelist.net/images/characters/2/171933.jpg
16,Allelujah Haptism,Mobile Suit Gundam 00,m,2388,http://cdn.myanimelist.net/images/characters/4/91639.jpg
17,Allen Walker,D.Gray-man,m,1165,http://cdn.myanimelist.net/images/characters/2/51942.jpg
18,Ikari Shinji,Neon Genesis Evangelion,m,2740,https://myanimelist.cdn-dena.com/images/characters/5/225177.jpg
20,Alphonse Elric,Fullmetal Alchemist,m,4582,http://cdn.myanimelist.net/images/characters/5/54265.jpg
21,Amaimon,Ao no Exorcist,m,2614,http://cdn.myanimelist.net/images/characters/2/159261.jpg
23,Amano Yukiteru,Mirai Nikki,m,2805,http://cdn.myanimelist.net/images/characters/13/134331.jpg
24,Antonio Lopez,Tiger & Bunny,m,3570,http://cdn.myanimelist.net/images/characters/15/123105.jpg
25,Aoi Toori,Kyoukaisenjou no Horizon,m,4825,http://cdn.myanimelist.net/images/characters/2/176149.jpg
26,Aono Tsukune,Rosario to Vampire,m,1308,http://cdn.myanimelist.net/images/characters/11/134613.jpg
27,Aonuma Shun,Shinsekai yori,m,4987,http://cdn.myanimelist.net/images/characters/8/186771.jpg
28,Arakita Yasutomo,Yowamushi Pedal,m,4569,http://cdn.myanimelist.net/images/characters/8/245995.jpg
29,Araragi Koyomi,Monogatari (Series),m,4924,http://cdn.myanimelist.net/images/characters/3/148437.jpg
30,Archer,Fate (Series),m,1164,http://cdn.myanimelist.net/images/characters/15/265629.jpg
31,Arita Haruyuki,Accel World,m,901,http://cdn.myanimelist.net/images/characters/4/163713.jpg
32,Armin Arlert,Shingeki no Kyojin,m,3000,http://cdn.myanimelist.net/images/characters/8/220267.jpg
33,Asaba Yuuta,Kimi to Boku.,m,2500,http://cdn.myanimelist.net/images/characters/15/164665.jpg
34,Ashiya Shirou,Hataraku Maou-sama!,m,1397,http://cdn.myanimelist.net/images/characters/7/206523.jpg
35,Ashuramaru,Owari no Seraph: Nagoya Kessen-hen,m,3184,https://myanimelist.cdn-dena.com/images/characters/3/258179.jpg
36,Ayasaki Hayate,Hayate no Gotoku!,m,2487,http://cdn.myanimelist.net/images/characters/6/96603.jpg
37,Black Star,Soul Eater,m,1000,http://cdn.myanimelist.net/images/characters/8/28726.jpg
38,Ciel Phantomhive,Kuroshitsuji,m,3735,http://cdn.myanimelist.net/images/characters/15/91806.jpg
40,Cruz Schild,Needless,m,3752,http://cdn.myanimelist.net/images/characters/12/57712.jpg
42,Daimon Kaito,Phi Brain,m,4605,http://cdn.myanimelist.net/images/characters/2/162189.jpg
43,Dandy (Space Dandy),Space Dandy,m,2757,http://cdn.myanimelist.net/images/characters/7/231179.jpg
44,Death the Kid,Soul Eater,m,4025,http://cdn.myanimelist.net/images/characters/3/102169.jpg
45,Dio Brando,JoJo no Kimyou na Bouken (TV),m,2245,http://cdn.myanimelist.net/images/characters/10/252875.jpg
46,Doma Taihei,Himouto! Umaru-chan,m,1875,http://cdn.myanimelist.net/images/characters/12/292186.jpg
48,Edogawa Conan,Detective Conan,m,2097,http://cdn.myanimelist.net/images/characters/10/146275.jpg
49,Edward Elric,Fullmetal Alchemist,m,1169,http://cdn.myanimelist.net/images/characters/9/72533.jpg
50,Emiya Kiritsugu,Fate (Series),m,4093,http://cdn.myanimelist.net/images/characters/16/175883.jpg
51,Emiya Shirou,Fate (Series),m,2184,http://cdn.myanimelist.net/images/characters/13/173271.jpg
52,Eren Yeager,Shingeki no Kyojin,m,4417,http://cdn.myanimelist.net/images/characters/10/216895.jpg
53,Fujisaki Chihiro,Danganronpa The Animation,m,2308,http://cdn.myanimelist.net/images/characters/3/222673.jpg
54,Fujisaki Yuusuke,SKET Dance,m,582,http://cdn.myanimelist.net/images/characters/16/271097.jpg
55,Fukai Ao,Eureka Seven AO,m,1817,http://cdn.myanimelist.net/images/characters/3/154365.jpg
56,Fukube Satoshi,Hyouka,m,2891,http://cdn.myanimelist.net/images/characters/6/231081.jpg
57,Fukuda Shinta,Bakuman,m,3988,http://cdn.myanimelist.net/images/characters/6/112128.jpg
58,Furuichi Takayuki,Beelzebub,m,3362,http://cdn.myanimelist.net/images/characters/2/108786.jpg
59,Furuya Chihiro,Sankarea,m,906,http://cdn.myanimelist.net/images/characters/6/163577.jpg
19,Alois Trancy,Kuroshitsuji,m,3965,https://cdn.myanimelist.net/images/characters/9/94244.jpg
39,Crow (Show By Rock!!),Show By Rock!!,m,1225,https://cdn.myanimelist.net/images/characters/2/282683.jpg
47,Dr Franken Stein,Soul Eater,m,4856,https://cdn.myanimelist.net/images/characters/7/89672.jpg
60,Fuwa Mahiro,Zetsuen no Tempest,m,1343,http://cdn.myanimelist.net/images/characters/16/223531.jpg
61,Gamagoori Ira,Kill la Kill,m,3336,http://cdn.myanimelist.net/images/characters/5/239865.jpg
62,Gasper Vladi,High School DxD,m,1379,http://cdn.myanimelist.net/images/characters/15/242125.jpg
63,Gaul Galette des Rois,Dog Days,m,4678,http://cdn.myanimelist.net/images/characters/8/140093.jpg
